<1>

{1,1}

[1,1.1]	athāto dharmajijñāsā.
[10,4.58]	api vākhyāvikāratvāt tena syād upalakṣaṇam.
[10,4.59]	na vā syād guṇaśāstratvāt.

{10,5}

[10,5.1]	ānupūrvyavatām ekadeśagrahaṇeṣv āgamavad antyalopaḥ syāt.
[10,5.2]	liṅgadarśanāc ca.
[10,5.3]	vikalpo vā samatvāt.
[10,5.4]	kramād upajano 'ntesyāt.
[10,5.5]	liṅgam aviśiṣṭaṃ saṅkhyāyā hi tadvacanam.
[10,5.6]	ādito vā pravṛttiḥ syād ārambhasya tadāditvād vacanād antyavidhiḥ syāt.
[10,5.7]	ekatrike tṛcādiṣu mādhyandinechandasāṃ śrutibhūtatvāt.
[10,5.8]	ādito vā tannyāyatvād itarasyānumānikatvāt.
[10,5.9]	yathāniveśañ ca prakṛtivat saṅkhyāmātravikāratvāt.
[10,5.10]	trikas tṛce dhurye syāt.
[10,5.11]	ekasyāṃ vā stomasyāvṛttidharmatvāt.
[10,5.12]	codanāsu tv apūrvatvāl liṅgena dharmaniyamaḥ syāt.
[10,5.13]	prāptis tu rātriśabdasambandhāt.
[10,5.14]	apūrvāsu tu saṅkhyāsu vikalpaḥ syāt sarvāsām arthavattvāt.
[10,5.15]	stomavivṛddhau prākṛtānām abhyāsena saṅkhyāpūraṇam avikārāt saṅkhyāyāṃ guṇaśabdatvād anyasya cāśrutitvāt.
[10,5.16]	āgamena vābhyāsasyāśrutitvāt.
[10,5.17]	saṅkhyāyāś ca pṛthaktvaniveśāt.
[10,5.18]	parākśabdatvāt.
[10,5.19]	uktāvikārāc ca.
[10,5.20]	aśrutitvān neti cet.
[10,5.21]	syād arthacoditānāṃ parimāṇaśāstram.
[10,5.22]	āvāpavacanaṃ cābhyāse nopapadyate.
[10,5.23]	sāmnāṃ cotpattisāmarthyāt.
[10,5.24]	dhūryeṣv apīti cet.
[10,5.25]	nāvṛttidharmatvāt.
[10,5.26]	vahiṣpavamāne na ṛgāgamaḥ sāmaikatvāt.
[10,5.27]	abhyāsena tu saṃkhyāpūraṇaṃ sāmidhenīṣv abhyāsaprakṛtitvāt.
[10,5.28]	aviśeṣān neti cet.
[10,5.29]	syāt taddharmatvāt prakṛtivad abhyasyetāsaṅkhyāpūraṇāt.
[10,5.30]	yāvad uktaṃ vā kṛtaparimāṇatvāt.
[10,5.31]	adhikānāñ ca darśanāt.
[10,5.32]	karmasv apīti cet.
[10,5.33]	na coditatvāt.
[10,5.34]	ṣoḍaśino vaikṛtatvaṃ tatra kṛtsnavidhānāt.
[10,5.35]	prakṛtau cābhāvadarśanāt.
[10,5.36]	ayajñavacanāc ca.
[10,5.37]	prakṛtau vā śiṣṭatvāt.
[10,5.38]	prakṛtidarśanāc ca.
[10,5.39]	āmnātaṃ parisaṅkhyārtham.
[10,5.40]	uktam abhāvadarśanam.
[10,5.41]	guṇād ayajñatvam.
[10,5.42]	tasyāgrayaṇād grahaṇam.
[10,5.43]	ukthyāc ca vacanāt.
[10,5.44]	tṛtīyasavane vacanāt syāt.
[10,5.45]	anabhyāse parākśabdasya tādarthyāt.
[10,5.46]	ukthyavicchedavacanatvāc ca.
[10,5.47]	āgrayaṇād vā parākśabdasya deśavācitvāt punarādheyavat.
[10,5.48]	vicchedaḥ stomasāmānyāt.
[10,5.49]	ukthyāgniṣṭomasaṃyogād astutaśastraḥ syāt sati hi saṃsthānyatvam.
[10,5.50]	saṃstutaśastro vā tadaṅgatvāt.
[10,5.51]	liṅgadarśanāc ca.
[10,5.52]	vacanāt saṃsthānyatvam.
[10,5.53]	abhāvād atirātreṣu gṛhyate.
[10,5.54]	anvayo vānārabhya vidhānāt.
[10,5.55]	caturthecaturthe 'hany ahīnasya gṛhyata ity abhyāsena pratīyeta bhojanavat.
[10,5.56]	api vā saṅkhyāvattvān nānāhīneṣu gṛhyate pakṣavad ekasmin saṃkhyārthabhāvāt.
[10,5.57]	bhojane tatsaṅkhyaṃ syāt.
[10,5.58]	jagatsāmni sāmābhāvād ṛktaḥ sāmatadākhyaṃ syāt.
[10,5.59]	ubhayasāmni naimittikaṃ vikalpena samatvāt syāt.
[10,5.60]	mukhyena vā niyamyeta.
[10,5.61]	nimittavighātād vā kratuyuktasya karma syāt.
[10,5.62]	aindravāyavasyāgravacanād āditaḥ pratikarṣaḥ syāt.
[10,5.63]	api vā dharmāviśeṣāt taddharmāṇāṃ svasthāne prakaraṇād agratvam ucyate.
[10,5.64]	dhārāsaṃyogāc ca.
[10,5.65]	kāmasaṃyoge tu vacanād āditaḥ pratikarṣaḥ syāt.
[10,5.66]	taddeśānāṃ vāgrasaṃyogāt tadyuktaṃ kāmaśāstraṃ syān nityasaṃyogāt.
[10,5.67]	pareṣu cāgraśabdaḥ pūrvavat syāt tadādiṣu.
[10,5.68]	pratikarṣo vā nityārthenāgrasya tadasaṃyogāt.
[10,5.69]	pratikarṣañ ca darśayati.
[10,5.70]	purastād aindravāyavasyāgrasya kṛtadeśatvāt.
[10,5.71]	tulyadharmatvāc ca.
[10,5.72]	tathā ca liṅgadarśanam.
[10,5.73]	sādanaṃ cāpi śeṣatvāt.
[10,5.74]	liṅgadarśanāc ca.
[10,5.75]	pradānaṃ cāpi sādanavat.
[10,5.76]	na vā pradhānatvāc cheṣatvāt sādanaṃ tathā.
[10,5.77]	tryanīkāyāṃ nyāyokteṣv āmnānaṃ guṇārthaṃ syāt.
[10,5.78]	api vāhargaṇeṣv agnivat samānavidhānaṃ syāt.
[10,5.79]	dvādaśāhasya vyūḍhasamūḍhatvaṃ pṛṣṭhavat samānavidhānaṃ syāt.
[10,5.80]	vyūḍho vā liṅgadarśanāt samūḍhavikāraḥ syāt.
[10,5.81]	kāmasaṃyogāt.
[10,5.82]	tasyobhayathā pravṛttir aikakarmyāt.
[10,5.83]	ekādaśinīvat tryanīkā parivṛttiḥ syāt.
[10,5.84]	svasthānavivṛddhir vāhnām apratyakṣasaṅkhyatvāt.
[10,5.85]	pṛṣṭhyāvṛttau cāgrayaṇasya darśanāt trayastriṃśe parivṛttau punaraindravāyavaḥ syāt.
[10,5.86]	vacanāt parivṛttir aikādaśineṣu.
[10,5.87]	liṅgadarśanāc ca.
[10,5.88]	chandovyatikramād vyūḍhe bhakṣapavamānaparidhikapālasyama ntrāṇāṃ yathotpattivacanam ūhavat syāt.

{10,6}

[10,6.1]	ekarca sthāni yajñe syuḥ svādhyāyavat.
[10,6.2]	tṛce vā liṅgadarśanāt.
[10,6.3]	svardṛśaṃ prativīkṣaṇaṃ kālamātraṃ parārthatvāt.
[10,6.4]	pṛṣṭhyasya yugapadvidher ekāhavad dvisāmatvam.
[10,6.5]	vibhakte vā samastavidhānāt tadvibhāge vipratiṣiddham.
[10,6.6]	samāsas tv ekādaśineṣu tatprakṛtitvāt.
[10,6.7]	vihārapratiṣedhāc ca.
[10,6.8]	śrutito vā lokavad vibhāgaḥ syāt.
[10,6.9]	vihāraprakṛtitvāc ca.
[10,6.10]	viśaye ca tadāsatteḥ.
[10,6.11]	trayas tatheti cet.
[10,6.12]	na samatvāt prayājavat.
[10,6.13]	sarvapṛṣṭhe pṛṣṭhaśabdāt teṣāṃ syād ekadeśatvaṃ pṛṣṭhasya kṛtadeśatvāt.
[10,6.14]	vidhes tu viprakarṣaḥ syāt.
[10,6.15]	vairūpasāmā kratusaṃyogāt trivṛdvad ekasāmā syāt.
[10,6.16]	pṛṣṭhārthe vā prakṛtiliṅgasaṃyogāt.
[10,6.17]	trivṛdvad iti cet.
[10,6.18]	na prakṛtāv akṛtsnasaṃyogāt.
[10,6.19]	vidhitvān neti cet.
[10,6.20]	syād viśaye tannyāyatvāt karmāvibhāgāt.
[10,6.21]	prakṛteś cāvikārāt.
[10,6.22]	trivṛti saṅkhyātvena sarvasaṃkhyāvikāraḥ syāt.
[10,6.23]	stomasya vā talliṅgatvāt.
[10,6.24]	ubhayasāmni viśvajidvadvibhāgaḥ syāt.
[10,6.25]	pṛṣṭārthe vātadarthatvāt.
[10,6.26]	liṅgadarśanāc ca.
[10,6.27]	pṛṣṭhe rasabhojanam āvṛtte saṃsthite trayastriṃśe 'hani syāt tadānantaryāt prakṛtivat.
[10,6.28]	ante vā kṛtakālatvāt.
[10,6.29]	abhyāse ca tadabhyāsaḥ karmaṇaḥ punaḥ prayogāt.
[10,6.30]	ante vā kṛtakālatvāt.
[10,6.31]	āvṛttis tu vyavāye kālabhedāt syāt.
[10,6.32]	madhu na dīkṣitā brahmacāritvāt.
[10,6.33]	prāśyeta yajñārthatvāt.
[10,6.34]	mānasam ahar antaraṃ syād bhedavyapadeśāt.
[10,6.35]	tena ca saṃstavāt.
[10,6.36]	ahar antāc ca pareṇa codanā.
[10,6.37]	pakṣe saṅkhyā sahasravat.
[10,6.38]	aharaṅgaṃ vāṃśuvac codanābhāvāt.
[10,6.39]	daśamavisargavacanāc ca.
[10,6.40]	daśame 'hanīti ca tadguṇaśāstrāt.
[10,6.41]	saṅkhyāsāmañjasyāt.
[10,6.42]	paśvatireke caikasya bhāvāt.
[10,6.43]	stutivyapadeśam aṅgena vipratiṣiddhaṃ vratavat.
[10,6.44]	vacanād atadantatvam.
[10,6.45]	satram ekaḥ prakṛtivat.
[10,6.46]	vacanāt tu bahūnāṃ syāt.
[10,6.47]	apadeśaḥ syād iti cet.
[10,6.48]	naikavyapadeśāt.
[10,6.49]	sannivāpañ ca darśayati.
[10,6.50]	bahūnām iti caikasmin viśeṣavacanaṃ vyartham.
[10,6.51]	anye syur ṛtvijaḥ prakṛtivat.
[10,6.52]	api vā yajamānāḥ syur ṛtvijām abhidhānasaṃyogāt teṣāṃ syād yajamānatvam.
[10,6.53]	kartṛsaṃskāro vacanād ādhātṛvad iti cet.
[10,6.54]	syād viśaye tannyāyatvāt prakṛtivat.
[10,6.55]	svāmyākhyāḥ syur gṛhapativad iti cet.
[10,6.56]	na prasiddhagrahaṇatvād asaṃyuktasya taddharmeṇa.
[10,6.57]	dīkṣitādīkṣitavyapadeśaś ca nopapadyate 'rthayor nityabhāvitvāt.
[10,6.58]	adakṣiṇatvāc ca.
[10,6.59]	dvādaśāhasya satratvam āsanopāyicodanena yajamānabahutvena ca satraśabdābhisaṃyogāt.
[10,6.60]	yajaticodanād ahīnatvaṃ svāmināṃ cāsthitaparimāṇatvāt.
[10,6.61]	ahīne dakṣiṇāśāstraṃ guṇatvāt pratyaha karmabhedaḥ syāt.
[10,6.62]	sarvasya vaikakarmyāt.
[10,6.63]	pṛṣadājyavad vāhnāṃ guṇaśāstraṃ syāt.
[10,6.64]	jyautiṣṭomyas tu dakṣiṇāḥ sarvāsām ekakarmatvāt prakṛtivat tasmān nāsāṃ vikāraḥ syāt.
[10,6.65]	dvādaśāhe tu vacanāt pratyahaṃ dakṣiṇābhedas tatprakṛtitvāt pareṣu tāsāṃ saṃkhyāvikāraḥ syāt.
[10,6.66]	parikrayāvibhāgād vā samastasya vikāraḥ syāt.
[10,6.67]	bhedas tu guṇasaṃyogāt.
[10,6.68]	pratyahaṃ sarvasaṃskāraḥ prakṛtivat sarvāsāṃ sarvaśeṣatvāt.
[10,6.69]	ekārthatvān neti cet.
[10,6.70]	syād utpattau kālabhedāt.
[10,6.71]	vibhajya tu saṃskāravacanād dvādaśāhavat.
[10,6.72]	liṅgena dravyanirdeśe sarvatra pratyayaḥ syāl liṅgasya sarvagāmitvād āgneyavat.
[10,6.73]	yāvad arthaṃ vārthaśeṣatvād alpena parimāṇaṃ syāt tasmiṃś ca liṅgasāmarthyam.
[10,6.74]	āgneye kṛtsnavidhiḥ.
[10,6.75]	ṛjīṣasya pradhānatvād ahargaṇe sarvasya pratipattiḥ syāt.
[10,6.76]	vāsasi mānopāvaharaṇe prakṛtau somasya vacanāt.
[10,6.77]	tatrāhargaṇe 'rthād vāsaḥ prakṛtiḥ syāt.
[10,6.78]	mānaṃ pratyutpādayet prakṛtau tena darśanād upāvaharaṇasya.
[10,6.79]	haraṇe vā śrutyasaṃyogād arthād vikṛtau tena.

{10,7}

[10,7.1]	paśor ekahaviṣṭvaṃ samastacoditatvāt.
[10,7.2]	pratyaṅgaṃ vā grahavad aṅgānāṃ pṛthakkalpanatvāt.
[10,7.3]	havir bhedāt karmaṇe 'bhyāsas tasmāt tebhyo 'vadānaṃ syāt.
[10,7.4]	ājyabhāgavad vā nirdeśāt parisaṃkhyā syāt.
[10,7.5]	teṣāṃ vā dvyavadānatvaṃ vivakṣann abhinirdiśet paśoḥ pañcāvadānatvāt.
[10,7.6]	aṃsaśiro'nūkasakthipratiṣedhaś ca tadanyaparisaṅkhyāne 'narthakaḥ syāt pradānatvāt teṣāṃ niravadānapratiṣedhaḥ syāt.
[10,7.7]	api vā parisaṅkhyā syād anavadānīyaśabdatvāt.
[10,7.8]	abrāhmaṇe ca darśanāt.
[10,7.9]	śṛtāśṛtopadeśāc ca teṣām utsargavad ayajñaśeṣatvaṃ.
[10,7.10]	ijyāśeṣāt sviṣṭakṛd ijyeta prakṛtivat.
[10,7.11]	tryaṅgair vā śaravad vikāraḥ syāt.
[10,7.12]	adhyūdhnī hotus tryaṅgavad iḍābhakṣavikāraḥ syāt.
[10,7.13]	śeṣe vā samavaiti tasmād rathavan niyamaḥ syāt.
[10,7.14]	aśāstratvāt tu naivaṃ syāt.
[10,7.15]	api vā dānamātraṃ syād bhakṣaśabdānabhisambandhāt.
[10,7.16]	dātus tv avidyamānatvād iḍābhakṣavikāraḥ syāc cheṣaṃ pratyaviśiṣṭatvāt.
[10,7.17]	agnīdhaś ca vaniṣṭhur adhyūdhnīvat.
[10,7.18]	aprākṛtatvān maitrāvaruṇasyābhakṣatvam.
[10,7.19]	syād vā hotradhvaryuvikāratvāt tayo karmābhisambandhāt.
[10,7.20]	dvibhāgaḥ syād dvikarmatvāt.
[10,7.21]	ekatvād vaikabhāgaḥ syād bhāgasyāśrutibhūtatvāt.
[10,7.22]	pratiprasthātuś ca vapāśrapaṇāt.
[10,7.23]	abhakṣo vā karmabhedāt tasyāḥ sarvapradānatvāt.
[10,7.24]	vikṛtau prākṛtasya vidher grahaṇāt punaḥ śrutir anarthikā syāt.
[10,7.25]	api vāgneyavad dviśabdatvaṃ syāt.
[10,7.26]	na vā śabdapṛthaktvāt.
[10,7.27]	adhikaṃ vārthavattvāt syād arthavādaguṇābhāve vacanād avikāre teṣu hi tādarthyaṃ syād apūrvatvāt.
[10,7.28]	pratiṣedhaḥ syād iti cet.
[10,7.29]	nāśrutatvāt.
[10,7.30]	agrahaṇād iti cet.
[10,7.31]	na tulyatvāt.
[10,7.32]	tathā tadgrahaṇe syāt.
[10,7.33]	apūrvatāṃ tu darśayed grahaṇasyārthavattvāt.
[10,7.34]	tato 'pi yāvaduktaṃ syāt.
[10,7.35]	sviṣṭakṛdbhakṣapratiṣedhaḥ syāt tulyakāraṇatvāt.
[10,7.36]	atiṣedho vā darśanād iḍāyāṃ syāt.
[10,7.37]	pratiṣedho vā vidhipūrvasya darśanāt.
[10,7.38]	śaṃyviḍāntatve vikalpaḥ syāt pareṣu patnyanuyājapratiṣedho 'narthakaḥ syāt.
[10,7.39]	nityānuvādo vā karmaṇaḥ syād aśabdatvāt.
[10,7.40]	pratiṣedhārthavattvāc cottarasya parastāt pratiṣedhaḥ syāt.
[10,7.41]	prāpter vā pūrvasya vacanād atikramaḥ syāt.
[10,7.42]	pratiṣedhasya tvarāyuktatvāt tasya ca nānyadeśatvam.
[10,7.43]	upasatsu yāvaduktam akarma syāt.
[10,7.44]	stroveṇa vāguṇatvāc cheṣapratiṣedhaḥ syāt.
[10,7.45]	apratiṣedhaṃ vā pratiṣidhyapratiprasavāt.
[10,7.46]	anijyā vā śeṣasya mukhyadevatān abhījyatvāt.
[10,7.47]	avabhṛthe barhiṣaḥ pratiṣedhāc cheṣakarma syāt.
[10,7.48]	ājyabhāgayor vā guṇatvāc cheṣapratiṣedhaḥ syāt.
[10,7.49]	prayājānāṃ tv ekadeśapratiṣedhād vākyaśeṣatvaṃ tasmān nityānuvādaḥ syāt.
[10,7.50]	ājyabhāgayor grahaṇaṃ vityānuvādo vā gṛhamedhīyavat syāt.
[10,7.51]	virodhinām ekaśrutau niyamaḥ syād grahaṇasyārthavattvāc charavac ca śrutito viśiṣṭatvāt.
[10,7.52]	ubhayapradeśān neti cet.
[10,7.53]	śareṣv apīti cet.
[10,7.54]	virodhyagrahaṇāt tathā śareṣv iti cet.
[10,7.55]	tathetarāsmin.
[10,7.56]	śrutyānarthakyam iti cet.
[10,7.57]	grahaṇasyārthavattvād grahaṇam apravṛtte syāt.
[10,7.58]	sarvāsāṃ ca guṇānām arthavattvād grahaṇam apravṛtte syāt.
[10,7.59]	adhikaṃ syād iti cet.
[10,7.60]	nārthābhāvāt.
[10,7.61]	tathaikārthavikāre prākṛtasyāpravṛttiḥ pravṛttau hi vikalpaḥ syāt.
[10,7.62]	yāvacchrutīti cet.
[10,7.63]	na prakṛtāv aśabdatvāt.
[10,7.64]	vikṛtau tv aniyamaḥ syāt praṣadājyavad grahaṇasya guṇārthatvād ubhayoś ca pradiṣṭatvād guṇaśāstraṃ yadeti syāt.
[10,7.65]	aikārthyād vā niyamyeta śrutito viśiṣṭatvāt.
[10,7.66]	virodhitvāc ca lokavat.
[10,7.67]	kratoś ca tadguṇatvāt.
[10,7.68]	virodhināñ ca tacchrutāv aśabdatvād vikalpaḥ syāt.
[10,7.69]	pṛṣadājye samuccayād grahaṇasya guṇārthatvam.
[10,7.70]	yady api caturavattīti tu niyame nopapadyate.
[10,7.71]	kratvantare vā tannyāyatvāt karmabhedāt.
[10,7.72]	yathāśrutīti cet.
[10,7.73]	na codanaikatvāt.

{10,8}

[10,8.1]	pratiṣedhaḥ pradeśe 'nārabhyavidhāne ca prāptapratiṣiddhatvād vikalpaḥ syāt.
[10,8.2]	arthaprāptavad iti cet.
[10,8.3]	na tulyahetutvād ubhayaṃ śabdalakṣaṇam.
[10,8.4]	api tu vākyaśeṣaḥ syād anyāyyatvād vikalpasya vidhīnām ekadeśaḥ syāt.
[10,8.5]	apūrve cārthavādaḥ syāt.
[10,8.6]	śiṣṭvā tu pratiṣedhaḥ syāt.
[10,8.7]	na ced anyaṃ prakalpayet prakḷptāv arthavādaḥ syād ānarthakyāt parasāmarthyāc ca.
[10,8.8]	pūrvaiś ca tulyakālatvāt.
[10,8.9]	upavādaś ca tadvat.
[10,8.10]	pratiṣedhād akarmeti cet.
[10,8.11]	na śabdapūrvatvāt.
[10,8.12]	dīkṣitasya dānahomapākapratiṣedho 'viśeṣāt sarvadānahomapākapratiṣedhaḥ syāt.
[10,8.13]	akratuyuktānāṃ vā dharmaḥ syāt kratoḥ pratyakṣaśiṣṭatvāt.
[10,8.14]	tasya vāpy ānumānikam aviśeṣāt.
[10,8.15]	api tu vākyaśeṣatvād itaraparyudāsaḥ syāt pratiṣedhe vikalpaḥ syāt.
[10,8.16]	aviśeṣeṇa yac chāstram anyāyyatvād vikalpasya tat sandigdham ārād viśeṣaśiṣṭaṃ syāt.
[10,8.17]	aprakaraṇe tu yac chāstraṃ viśeṣe śruyamāṇam avikṛtam ājyabhāgavat prākṛtapratiṣedhārtham.
[10,8.18]	vikāre tu tadarthaṃ syāt.
[10,8.19]	vākyaśeṣo vā kratunā grahaṇāt syād anārabhyavidhānasya.
[10,8.20]	mantreṣv avākyaśeṣatvaṃ guṇopadeśāt syāt.
[10,8.21]	anāmnāte ca darśanāt.
[10,8.22]	pratiṣedhāc ca.
[10,8.23]	agnyatigrāhyasya vikṛtāv upadeśād apravṛttiḥ syāt.
[10,8.24]	māsi grahaṇañ ca tadvāt.
[10,8.25]	grahaṇaṃ vā tulyatvāt.
[10,8.26]	liṅgadarśanāc ca.
[10,8.27]	grahaṇaṃ samānavidhānaṃ syāt.
[10,8.28]	māsigrahaṇam abhyāsapratiṣedhārtham.
[10,8.29]	utpattitādarthyāc caturavattama pradhānasya homasaṃyogād adhikam ājyam atulyatvāl lokavad utpatter guṇabhūtatvāt.
[10,8.30]	tatsaṃskāraśruteś ca.
[10,8.31]	tābhyāṃ vā saha sviṣṭakṛtaḥ sakṛttve dvipabhighāraṇena tadāptivacanāt.
[10,8.32]	tulyavac cābhidhāya sarveṣu bhaktyanukramaṇāt.
[10,8.33]	sāptadaśyavan niyamyeta.
[10,8.34]	haviṣo vā guṇabhūtatvāt tathābhūtavivakṣā syāt.
[10,8.35]	puroḍāśābhyām itya dhikṛtānāṃ puroḍāśayor upadeśas tacchrutitvād vaiśyastomavat.
[10,8.36]	na tv anityādhikāro 'sti vidhau nityena sambandhas tasmād avākyaśeṣatvam.
[10,8.37]	sati ca naikadeśena kartuḥ pradhānabhūtatvāt.
[10,8.38]	kṛtsnatvāt tu tathā stome.
[10,8.39]	kartuḥ syād iti cet.
[10,8.40]	na guṇārthatvāt prāpte na copadeśārthaḥ.
[10,8.41]	karmaṇos tu prakaraṇe tannyāyatvād guṇānāṃ liṅgena kālaśāstraṃ syāt.
[10,8.42]	yadi tu sānnāyyaṃ somayājino na tābhyāṃ samavāyo 'sti vibhaktakālatvāt.
[10,8.43]	api vā vihitatvād guṇārthāyāṃ punaḥ śrutau sandehe śrutir dvidevatārthā syād yathānabhipretas tathāgneyo darśanād ekadevate.
[10,8.44]	vidhiṃ tu bādarāyaṇaḥ.
[10,8.45]	pratiṣiddhavijñānād vā.
[10,8.46]	tathā cānyārthadarśanam.
[10,8.47]	upāṃśuyājam antarā yajatīti havirliṅgāśrutitvād yathākāmī pratīyeta.
[10,8.48]	dhrauvād vā sarvasaṃyogāt.
[10,8.49]	tadvac ca devatāyāṃ syāt.
[10,8.50]	tāndrīṇāṃ prakaraṇāt.
[10,8.51]	dharmād vā syāt prajāpatiḥ.
[10,8.52]	devatāyās tv anirvacanaṃ tatra śabdasyeha mṛdutvaṃ tasmād ihādhikāreṇa.
[10,8.53]	viṣṇur vā syād dhautrāmnānād amāvāsyāhaviś ca syād dhautrasya tatra darśanāt.
[10,8.54]	api vā paurṇamāsyāṃ syāt pradhānaśabdasaṃyogād guṇatvān mantro yathā pradhānaṃ syāt.
[10,8.55]	ānantaryañ ca sānnāyyasya puroḍāśena darśayaty amāvāsyāvikāre.
[10,8.56]	agnīṣomavidhānāt tu paurṇamāsyām ubhayatra vidhīyate.
[10,8.57]	pratiṣiddhyavidhānād vā viṣṇuḥ samānadeśaḥ syāt.
[10,8.58]	tathā cānyārthadarśanam.
[10,8.59]	na cānaṅga sakṛc chrutāv ubhayatra vidhīyotāsambandhāt.
[10,8.60]	guṇānāṃ ca parārthatvāt pravṛttau vidhiliṅgāni darśayati.
[10,8.61]	vikāre cāśrutitvāt.
[10,8.62]	dvipuroḍāśāyāṃ syād antarārthatvāt.
[10,8.63]	ajāmikaraṇārthatvāc ca.
[10,8.64]	tadartham iti cen na tatpradhānatvāt.
[10,8.65]	aśiṣṭhena ca sambandhāt.
[10,8.66]	utpattes tu niveśaḥ syād guṇasyānuparodhenārthasya vidyamānatvād vidhānād antarārthasya naimittikatvāt tadabhāve 'śrutau syāt.
[10,8.67]	ubhayos tu vidhānāt.
[10,8.68]	guṇānāñ ca parārthatvād upaveṣavad yadeti syāt.
[10,8.69]	anapāyaś ca kālasya lakṣaṇaṃ hi puroḍāśau.
[10,8.70]	praśaṃsārtham ajāmitvam.

<11>

{11,1}

[11,1.1]	prayojanābhisambandhāt pṛthak satāṃ tataḥ syād aikakarmyam ekaśabdābhisaṃyogāt.
[11,1.2]	śeṣavad vā prayojanaṃ pratijanaṃ pratikarma vibhajyeta.
[11,1.3]	avidhānāt tu naivaṃ syāt.
[11,1.4]	śeṣasya hi parārthatvād vidhānāt pratipradhānabhāvaḥ syāt.
[11,1.5]	aṅgānāṃ tu śabdabhedāt kratuvat syāt phalānayatvam.
[11,1.6]	arthabhedas tu tatrāthehaikārthyād aikakarmyam.
[11,1.7]	śabdabhedān neti cet.
[11,1.8]	karmārthatvāt prayoge tācchabdyaṃ syāt tadarthatvāt.
[11,1.9]	kartṛvidher nānārthatvād guṇapradhāneṣu.
[11,1.10]	ārambhasya śabdapūrvatvāt.
[11,1.11]	ekenāpi samāpyeta kṛtārthatvād yathā kratvantareṣu prāpteṣu cottarāvat syāt.
[11,1.12]	phalābhāvān neti cet.
[11,1.13]	na karmasaṃyogāt prayojanabaśabdadoṣaṃ syāt.
[11,1.14]	ekaśabdyād iti cet.
[11,1.15]	nārthapṛthaktvāt samatvād aguṇatvam.
[11,1.16]	vidhes tv ekaśrutitvād aparyāyavidhānān nityavac chrutabhūtābhisaṃyogād arthena yugapatprāpter yathāprāptaṃ svaśabdo nivītavat sarvaprayoge pravṛttiḥ syāt.
[11,1.17]	tathā karmopadeśatvāt.
[11,1.18]	kratvantareṣu punarvacanam.
[11,1.19]	uttarāsvaśrutitvād viśeṣāṇāṃ kṛtārthatvāt saṃdohe yathākāmī pratīyeta.
[11,1.20]	karmaṇy ārambhabhāvyatvāt kṛṣivat pratyārambhaṃ phalāni syuḥ.
[11,1.21]	adhikāraś ca sarveṣāṃ kāryatvād upapadyate viśeṣaḥ.
[11,1.22]	sakṛt tu syāt kṛtārthatvād aṅgavat.
[11,1.23]	śabdārthaś ca tathā loke.
[11,1.24]	api vā saṃprayoge yathākāmī pratīyetāśrutitvād vidhiṣu vacanāni syuḥ.
[11,1.25]	ekaśabdyāt tathāṅgeṣu.
[11,1.26]	loke karmārthalakṣaṇam.
[11,1.27]	kriyāṇām arthaśeṣatvāt pratyakṣatas tannirvṛttyāpavargaḥ syāt.
[11,1.28]	dharmamātre tv adarśanāc chabdārthenāpavargaḥ syāt.
[11,1.29]	kratuvac cānumānenābhyāse phalabhūmā syāt.
[11,1.30]	sakṛd vā kāraṇaikatvāt.
[11,1.31]	parimāṇaṃ cāniyamena syāt.
[11,1.32]	phalasyārambhanirvṛtteḥ kratuṣu syāt phalānyatvam.
[11,1.33]	arthavāṃs tu naikatvād abhyāsaḥ syād anarthako yathā bhojanam ekasminn arthasyāparimāṇatvāt pradhāne ca kriyārthatvād aniyamaḥ syāt.
[11,1.34]	pṛthaktvād vidhitaḥ parimāṇaṃ syāt.
[11,1.35]	anabhyāso vā prayogavacanaikatvāt sarvasya yugapacchāstrād aphalatvāc ca karmaṇaḥ syāt kriyārthatvāt.
[11,1.36]	abhyāso vā chedanasaṃmārgāvadāneṣu vacanāt sakṛttvasya.
[11,1.37]	anabhyāsas tu vācyatvāt.
[11,1.38]	bahuvacanena sarvaprāpter vikalpaḥ syāt.
[11,1.39]	dṛṣṭaḥ prayoga iti cet.
[11,1.40]	bhaktyeti cet.
[11,1.41]	tathetarasmin.
[11,1.42]	prathamaṃ vā niyamyeta kāraṇād atikramaḥ syāt.
[11,1.43]	śrutyarthāviśeṣāt.
[11,1.44]	tathā cānyārthadarśanam.
[11,1.45]	prakṛtyā ca pūrvavat tadāsatteḥ.
[11,1.46]	uttarāsu yāvatsvam apūrvatvāt.
[11,1.47]	yāvatsvaṃ vānyavidhānenānuvādaḥ syāt.
[11,1.48]	sākalyavidhānāt.
[11,1.49]	bahvarthatvāc ca.
[11,1.50]	agnihotre cāśeṣavadyavāgūniyamaḥ pratiṣedhaḥ kumārāṇām.
[11,1.51]	sarvaprāyiṇāpi liṅgena saṃyujyate devatābhisaṃyogāt.
[11,1.52]	pradhānakarmārthatvād aṅgānāṃ tadbhedāt karmabhedaḥ prayoge syāt.
[11,1.53]	kramakopaś ca yaugapadyāt syāt.
[11,1.54]	tulyānāṃ tu yaugapadyam ekaśabdopadeśāt syād viśeṣāgrahaṇāt.
[11,1.55]	ekārthyād avyavāyaḥ syāt.
[11,1.56]	tathā cānyārthadarśanaṃ kāmukāyanaḥ.
